,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,closed_code,resolved_by,resolved_at,closed_at,resolution_time,categoria_num
118,INC0000079,Closed,False,1,0,4,True,Caller 2471,Opened by  180,29/2/2016 08:32,908,5/3/2016 12:00,Phone,Location 204,Category 55,Subcategory 170,2 - Medium,2 - Medium,3 - Moderate,Group 65,Resolver 180,True,False,Do Not Notify,code 6,Resolved by 163,29/2/2016 11:20,5/3/2016 12:00,2.8,55.0
126,INC0000080,Closed,False,0,0,7,True,Caller 1194,Opened by  24,29/2/2016 08:33,908,7/3/2016 12:00,Phone,Location 229,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 6,Resolved by 15,2/3/2016 11:40,7/3/2016 12:00,51.11666666666667,32.0
131,INC0000083,Closed,False,1,0,4,True,Caller 4866,Opened by  131,29/2/2016 08:39,908,5/3/2016 17:00,Phone,Location 93,Category 24,Subcategory 164,3 - Low,3 - Low,4 - Low,Group 23,,True,False,Do Not Notify,code 7,Resolved by 62,29/2/2016 16:05,5/3/2016 17:00,7.433333333333334,24.0
137,INC0000084,Closed,False,0,0,19,False,Caller 3038,Opened by  433,29/2/2016 08:39,908,17/4/2016 15:07,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Group 66,Resolver 175,True,True,Do Not Notify,code 6,Resolved by 158,12/4/2016 14:46,17/4/2016 15:07,1038.1166666666666,45.0
141,INC0000085,Closed,False,0,0,6,True,Caller 917,Opened by  180,29/2/2016 08:41,908,7/3/2016 15:00,Phone,Location 161,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:44,7/3/2016 15:00,54.05,20.0
150,INC0000086,Closed,False,1,0,8,True,Caller 2403,Opened by  24,29/2/2016 08:43,908,6/3/2016 16:00,Phone,Location 98,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 23,,True,False,Do Not Notify,code 7,Resolved by 62,1/3/2016 15:45,6/3/2016 16:00,31.033333333333335,24.0
154,INC0000087,Closed,False,0,0,3,True,Caller 950,Opened by  180,29/2/2016 08:47,908,7/3/2016 15:00,Phone,Location 69,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:46,7/3/2016 15:00,53.983333333333334,53.0
157,INC0000088,Closed,False,0,0,2,True,Caller 388,Opened by  180,29/2/2016 08:48,908,5/3/2016 10:00,Phone,Location 93,Category 42,Subcategory 224,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 6,Resolved by 85,29/2/2016 09:05,5/3/2016 10:00,0.2833333333333333,42.0
167,INC0000089,Closed,False,3,0,9,True,Caller 4907,Opened by  180,29/2/2016 08:51,908,8/3/2016 15:00,Phone,Location 108,Category 45,Subcategory 94,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00,77.73333333333333,45.0
172,INC0000092,Closed,False,1,0,6,False,Caller 1811,Opened by  40,29/2/2016 08:55,908,12/3/2016 09:00,Phone,Location 172,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 72,,True,False,Do Not Notify,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00,167.83333333333334,53.0
179,INC0000094,Closed,False,0,0,10,False,Caller 387,Opened by  433,29/2/2016 08:58,908,24/3/2016 18:50,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50,241.78333333333333,45.0
185,INC0000098,Closed,False,1,0,5,True,Caller 4043,Opened by  24,29/2/2016 09:02,908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:51,7/3/2016 15:00,53.81666666666667,53.0
189,INC0000099,Closed,False,1,0,3,True,Caller 5410,Opened by  180,29/2/2016 09:03,908,6/3/2016 10:00,Phone,Location 51,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,code 8,Resolved by 183,1/3/2016 09:05,6/3/2016 10:00,24.033333333333335,24.0
193,INC0000100,Closed,False,0,0,3,True,Caller 3082,Opened by  40,29/2/2016 09:05,908,7/3/2016 15:00,Phone,Location 161,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:53,7/3/2016 15:00,53.8,53.0
200,INC0000101,Closed,False,0,0,6,True,Caller 1892,Opened by  180,29/2/2016 09:05,908,5/3/2016 12:00,Phone,Location 143,Category 55,Subcategory 170,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00,1.9166666666666667,55.0
219,INC0000102,Closed,False,4,1,19,False,Caller 307,Opened by  131,29/2/2016 09:06,908,24/3/2016 18:59,Phone,Location 46,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 31,True,False,Do Not Notify,code 4,Resolved by 30,17/3/2016 16:28,24/3/2016 18:59,415.3666666666667,37.0
223,INC0000103,Closed,False,0,0,3,True,Caller 4375,Opened by  180,29/2/2016 09:07,908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:54,7/3/2016 15:00,53.78333333333333,53.0
230,INC0000104,Closed,False,1,0,6,False,Caller 5180,Opened by  180,29/2/2016 09:08,908,6/3/2016 12:00,Phone,Location 51,Category 53,Subcategory 168,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,True,Do Not Notify,code 6,Resolved by 183,1/3/2016 11:55,6/3/2016 12:00,26.783333333333335,53.0
238,INC0000105,Closed,False,1,0,7,True,Caller 2949,Opened by  180,29/2/2016 09:10,908,5/3/2016 12:00,Phone,Location 93,Category 45,Subcategory 223,2 - Medium,2 - Medium,3 - Moderate,Group 55,,True,False,Do Not Notify,code 9,Resolved by 77,29/2/2016 11:58,5/3/2016 12:00,2.8,45.0
242,INC0000110,Closed,False,0,0,3,True,Caller 5540,Opened by  40,29/2/2016 09:13,908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:55,7/3/2016 15:00,53.7,53.0
246,INC0000111,Closed,False,0,0,3,True,Caller 4325,Opened by  180,29/2/2016 09:14,908,7/3/2016 15:00,Phone,Location 93,Category 53,Subcategory 130,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:56,7/3/2016 15:00,53.7,53.0
252,INC0000112,Closed,False,2,0,5,True,Caller 521,Opened by  131,29/2/2016 09:15,908,7/3/2016 16:00,Phone,Location 93,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,True,False,Do Not Notify,code 7,Resolved by 196,2/3/2016 15:13,7/3/2016 16:00,53.96666666666667,37.0
257,INC0000113,Closed,False,0,0,4,True,Caller 1658,Opened by  24,29/2/2016 09:18,908,7/3/2016 20:00,Phone,Location 204,Category 55,Subcategory 23,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 227,True,False,Do Not Notify,code 6,Resolved by 206,2/3/2016 19:30,7/3/2016 20:00,58.2,55.0
266,INC0000114,Closed,False,1,0,9,True,Caller 4554,Opened by  180,29/2/2016 09:18,908,8/3/2016 02:00,Phone,Location 161,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 7,Resolved by 174,3/3/2016 01:18,8/3/2016 02:00,64.0,53.0
272,INC0000115,Closed,False,2,0,5,True,Caller 5494,Opened by  131,29/2/2016 09:20,908,6/3/2016 09:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,code 9,Resolved by 81,1/3/2016 08:50,6/3/2016 09:00,23.5,9.0
276,INC0000116,Closed,False,1,0,3,True,Caller 1488,Opened by  180,29/2/2016 09:20,908,6/3/2016 13:00,Phone,Location 108,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Group 47,,True,False,Do Not Notify,code 6,Resolved by 106,1/3/2016 12:02,6/3/2016 13:00,26.7,37.0
280,INC0000119,Closed,False,0,0,3,True,Caller 3842,Opened by  180,29/2/2016 09:22,908,6/3/2016 10:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,code 9,Resolved by 81,1/3/2016 09:03,6/3/2016 10:00,23.683333333333334,9.0
283,INC0000121,Closed,False,0,0,2,True,Caller 1932,Opened by  40,29/2/2016 09:25,908,5/3/2016 17:00,Phone,Location 93,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 23,,True,False,Do Not Notify,code 7,Resolved by 62,29/2/2016 16:31,5/3/2016 17:00,7.1,53.0
288,INC0000122,Closed,False,1,0,4,True,Caller 3113,Opened by  24,29/2/2016 09:27,908,6/3/2016 17:00,Phone,Location 44,Category 45,Subcategory 107,2 - Medium,2 - Medium,3 - Moderate,Group 22,,True,False,Do Not Notify,code 3,Resolved by 139,1/3/2016 16:50,6/3/2016 17:00,31.383333333333333,45.0
292,INC0000123,Closed,False,0,0,3,True,Caller 4428,Opened by  180,29/2/2016 09:29,908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:56,7/3/2016 15:00,53.45,53.0
296,INC0000124,Closed,False,0,0,3,True,Caller 4907,Opened by  40,29/2/2016 09:30,908,5/3/2016 12:00,Phone,Location 108,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,True,False,Do Not Notify,code 7,Resolved by 143,29/2/2016 11:05,5/3/2016 12:00,1.5833333333333333,53.0
303,INC0000125,Closed,False,1,0,6,True,Caller 154,Opened by  131,29/2/2016 09:31,908,6/3/2016 09:00,Phone,Location 108,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,True,Do Not Notify,code 11,Resolved by 153,1/3/2016 08:32,6/3/2016 09:00,23.016666666666666,9.0
307,INC0000126,Closed,False,0,0,3,True,Caller 3754,Opened by  180,29/2/2016 09:31,908,7/3/2016 15:00,Phone,Location 142,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:57,7/3/2016 15:00,53.43333333333333,53.0
314,INC0000128,Closed,False,2,0,10,False,Caller 4539,Opened by  131,29/2/2016 09:36,908,24/3/2016 18:50,Phone,Location 36,Category 44,Subcategory 54,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 99,True,False,Do Not Notify,code 6,Resolved by 89,11/3/2016 12:15,24/3/2016 18:50,266.65,44.0
327,INC0000129,Closed,False,2,0,17,False,Caller 5340,Opened by  180,29/2/2016 09:40,908,27/3/2016 13:59,Phone,Location 135,Category 23,Subcategory 75,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,True,True,Do Not Notify,code 6,Resolved by 231,22/3/2016 13:30,27/3/2016 13:59,531.8333333333334,23.0
333,INC0000130,Closed,False,1,0,5,True,Caller 314,Opened by  62,29/2/2016 09:41,908,8/3/2016 11:00,Phone,Location 204,Category 61,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,True,False,Do Not Notify,code 6,Resolved by 180,3/3/2016 10:16,8/3/2016 11:00,72.58333333333333,61.0
337,INC0000131,Closed,False,0,0,3,True,Caller 3763,Opened by  433,29/2/2016 09:41,908,8/3/2016 10:00,Phone,Location 15,Category 45,Subcategory 220,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 175,True,False,Do Not Notify,code 2,Resolved by 184,3/3/2016 09:27,8/3/2016 10:00,71.76666666666667,45.0
343,INC0000132,Closed,False,2,0,5,True,Caller 3957,Opened by  131,29/2/2016 09:42,908,8/3/2016 16:00,Phone,Location 204,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 135,True,False,Do Not Notify,code 6,Resolved by 121,3/3/2016 15:18,8/3/2016 16:00,77.6,9.0
348,INC0000134,Closed,False,1,0,4,True,Caller 2471,Opened by  501,29/2/2016 09:44,908,8/3/2016 09:00,Phone,Location 204,Category 62,Subcategory 192,3 - Low,3 - Low,4 - Low,Group 73,Resolver 198,True,False,Do Not Notify,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00,70.61666666666666,62.0
356,INC0000135,Closed,False,0,0,7,True,Caller 5331,Opened by  40,29/2/2016 09:45,908,5/3/2016 17:00,Phone,Location 204,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,True,False,Do Not Notify,code 9,Resolved by 32,29/2/2016 16:17,5/3/2016 17:00,6.533333333333333,53.0
360,INC0000137,Closed,False,0,0,3,True,Caller 899,Opened by  24,29/2/2016 09:48,908,5/3/2016 12:00,Phone,Location 51,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 6,Resolved by 15,29/2/2016 11:03,5/3/2016 12:00,1.25,32.0
366,INC0000139,Closed,False,1,0,6,True,Caller 3284,Opened by  131,29/2/2016 09:50,908,6/3/2016 10:00,Phone,Location 204,Category 53,Subcategory 303,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 6,Resolved by 208,1/3/2016 09:56,6/3/2016 10:00,24.1,53.0
373,INC0000140,Closed,False,1,0,7,True,Caller 3868,Opened by  180,29/2/2016 09:51,908,8/3/2016 12:00,Phone,Location 79,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,code 6,Resolved by 113,3/3/2016 11:59,8/3/2016 12:00,74.13333333333334,9.0
377,INC0000141,Closed,False,0,0,4,True,Caller 72,Opened by  40,29/2/2016 09:52,908,7/3/2016 15:00,Phone,Location 93,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:58,7/3/2016 15:00,53.1,53.0
381,INC0000146,Closed,False,0,0,3,True,Caller 220,Opened by  24,29/2/2016 09:57,908,7/3/2016 15:00,Phone,Location 55,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:59,7/3/2016 15:00,53.03333333333333,53.0
388,INC0000147,Closed,False,1,0,9,False,Caller 926,Opened by  40,29/2/2016 10:00,908,19/3/2016 10:00,Phone,Location 179,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,code 5,Resolved by 113,14/3/2016 09:49,19/3/2016 10:00,335.81666666666666,53.0
392,INC0000148,Closed,False,0,0,3,True,Caller 4279,Opened by  501,29/2/2016 10:00,908,7/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 1,Resolved by 208,2/3/2016 15:00,7/3/2016 16:00,53.0,53.0
396,INC0000149,Closed,False,0,0,3,True,Caller 4331,Opened by  62,29/2/2016 10:01,908,7/3/2016 16:00,Phone,Location 142,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 15:01,7/3/2016 16:00,53.0,53.0
401,INC0000152,Closed,False,0,0,4,True,Caller 1913,Opened by  180,29/2/2016 10:08,908,8/3/2016 10:00,Phone,Location 51,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,True,Do Not Notify,code 6,Resolved by 183,3/3/2016 09:23,8/3/2016 10:00,71.25,53.0
405,INC0000153,Closed,False,0,0,3,True,Caller 5150,Opened by  24,29/2/2016 10:10,908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 14:55,7/3/2016 15:00,52.75,53.0
409,INC0000155,Closed,False,0,0,3,True,Caller 278,Opened by  180,29/2/2016 10:12,908,7/3/2016 16:00,Phone,Location 171,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 15:02,7/3/2016 16:00,52.833333333333336,53.0
413,INC0000156,Closed,False,0,0,3,True,Caller 2811,Opened by  501,29/2/2016 10:14,908,7/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 15:02,7/3/2016 16:00,52.8,53.0
416,INC0000158,Closed,False,0,0,2,True,Caller 229,Opened by  301,29/2/2016 10:17,908,7/3/2016 16:00,Phone,Location 56,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 15:06,7/3/2016 16:00,52.81666666666667,53.0
422,INC0000159,Closed,False,1,0,6,True,Caller 3923,Opened by  180,29/2/2016 10:17,908,7/3/2016 11:00,Phone,Location 143,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 28,,True,False,Do Not Notify,code 6,Resolved by 215,2/3/2016 10:09,7/3/2016 11:00,47.86666666666667,24.0
435,INC0000161,Closed,False,2,0,11,False,Caller 3007,Opened by  180,29/2/2016 10:18,908,24/3/2016 18:40,Phone,Location 55,Category 37,Subcategory 135,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40,191.06666666666666,37.0
442,INC0000164,Closed,False,2,0,6,True,Caller 3237,Opened by  131,29/2/2016 10:18,908,8/3/2016 15:00,Phone,Location 224,Category 53,Subcategory 114,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 11,Resolved by 175,3/3/2016 14:34,8/3/2016 15:00,76.26666666666667,53.0
446,INC0000166,Closed,False,0,0,3,True,Caller 4098,Opened by  501,29/2/2016 10:24,908,5/3/2016 17:00,Phone,Location 108,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,True,Do Not Notify,code 6,Resolved by 153,29/2/2016 16:24,5/3/2016 17:00,6.0,9.0
450,INC0000167,Closed,False,0,0,3,True,Caller 649,Opened by  24,29/2/2016 10:27,908,5/3/2016 12:00,Phone,Location 108,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,code 6,Resolved by 15,29/2/2016 11:02,5/3/2016 12:00,0.5833333333333334,20.0
453,INC0000168,Closed,False,0,0,2,True,Caller 4568,Opened by  131,29/2/2016 10:27,908,6/3/2016 10:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,code 9,Resolved by 81,1/3/2016 09:05,6/3/2016 10:00,22.633333333333333,9.0
456,INC0000169,Closed,False,0,0,2,True,Caller 1805,Opened by  62,29/2/2016 10:30,908,7/3/2016 16:00,Phone,Location 108,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 15:06,7/3/2016 16:00,52.6,53.0
470,INC0000171,Closed,False,4,0,16,False,Caller 3007,Opened by  180,29/2/2016 10:33,908,24/3/2016 18:59,Phone,Location 55,Category 24,Subcategory 164,1 - High,2 - Medium,2 - High,Group 70,Resolver 149,True,False,Do Not Notify,code 9,Resolved by 133,18/3/2016 13:44,24/3/2016 18:59,435.18333333333334,24.0
480,INC0000172,Closed,False,1,0,9,True,Caller 3117,Opened by  180,29/2/2016 10:36,908,5/3/2016 19:00,Phone,Location 224,Category 23,Subcategory 75,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 188,True,False,Do Not Notify,code 6,Resolved by 171,29/2/2016 18:24,5/3/2016 19:00,7.8,23.0
488,INC0000173,Closed,False,1,0,21,False,Caller 64,Opened by  4,29/2/2016 10:36,908,16/4/2016 15:07,Phone,Location 131,Category 55,Subcategory 120,3 - Low,2 - Medium,4 - Low,Group 65,Resolver 4,True,True,Do Not Notify,code 1,Resolved by 3,11/4/2016 14:49,16/4/2016 15:07,1012.2166666666667,55.0
495,INC0000174,Closed,False,1,0,9,True,Caller 4414,Opened by  131,29/2/2016 10:39,804,2/3/2016 13:02,Phone,Location 51,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 1,Resolved by 184,2/3/2016 13:01,2/3/2016 13:02,50.36666666666667,32.0
498,INC0000176,Closed,False,0,0,2,True,Caller 786,Opened by  501,29/2/2016 10:40,908,7/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,Group 54,,True,False,Do Not Notify,code 7,Resolved by 208,2/3/2016 15:07,7/3/2016 16:00,52.45,53.0
